country,total cases,land
United States,19968087,America
India,10266674,Asia
Brazil,7675973,SA
Russia,3127347,Europe
France,2677666,Europe
United Kingdom,2496231,Europe
Turkey,2208652,Asia
Italy,2107166,Europe
Spain,1928265,Europe
Germany,1760520,Europe
Colombia,1642775,SA
Argentina,1625514,SA
Mexico,1426094,America
Poland,1294878,Europe
Iran,1225142,Asia
Ukraine,1086997,Europe
South Africa,1057161,Africa
Peru,1015137,America
Netherlands,808382,Europe
Indonesia,743198,Asia
Czechia,718661,Europe
Belgium,646496,Europe
Romania,632263,Europe
Chile,608973,SA
Iraq,595291,Asia
Canada,584409,Europe
Bangladesh,513510,Asia
Pakistan,482178,Asia
Philippines,474064,Asia
Switzerland,452296,Europe
Morocco,439193,Africa
Sweden,437379,Europe
Israel,423262,Asia
Portugal,413678,Europe
Saudi Arabia,362741,Asia
Austria,360815,Europe
Serbia,337923,Europe
Hungary,322514,Europe
Jordan,294494,Asia
Nepal,260593,Asia
Panama,246790,America
Japan,235811,Asia
Georgia,227420,Asia
Azerbaijan,218700,Asia
Ecuador,212512,SA
Croatia,210837,Europe
United Arab Emirates,207822,Asia
Bulgaria,202266,Europe
Kazakhstan,201196,Asia
Belarus,194284,Europe
Lebanon,181503,Asia
Slovakia,179543,Europe
Dominican Republic,170785,America
Costa Rica,169321,America
Denmark,164116,Europe
Bolivia,160124,SA
Armenia,159409,Asia
Kuwait,150584,Asia
Moldova,144818,Europe
Qatar,143834,Asia
Lithuania,140579,Europe
Tunisia,139140,Asia
Greece,138850,Europe
Egypt,138062,Africa
Guatemala,138012,SA
Palestine,138004,Asia
Oman,128867,Asia
Myanmar,124630,Asia
Ethiopia,124264,Africa
Slovenia,122152,Europe
Honduras,121827,SA
Venezuela,113558,SA
Malaysia,113010,Asia
Bosnia and Herzegovina,110985,Europe
Paraguay,107932,SA
Libya,100277,Africa
Algeria,99610,Africa
Kenya,96458,Africa
China,95963,Asia
Bahrain,92675,Asia
Ireland,91779,Europe
Nigeria,87607,Africa
North Macedonia,83329,Europe
Kyrgyzstan,81034,Asia
Uzbekistan,77060,Europe
South Korea,61769,Asia
Singapore,58599,Asia
Albania,58316,Europe
Ghana,54771,Africa
Afghanistan,51526,Asia
Kosovo,51144,Europe
Norway,49567,Europe
Montenegro,48247,Asia
Luxembourg,46415,Europe
El Salvador,45960,America
Sri Lanka,43299,Asia
Latvia,40904,Europe
Finland,36107,Europe
Uganda,35216,Africa
Australia,28425,Oceania
Estonia,27990,Europe
Cameroon,26277,Africa
Namibia,23941,Africa
Sudan,23316,Africa
Cote d'Ivoire,22490,Africa
Cyprus,22019,Asia
Zambia,20725,Africa
Senegal,19140,Africa
Uruguay,19119,SA
Mozambique,18642,Africa
Madagascar,17714,Africa
Democratic Republic of Congo,17658,Africa
Angola,17553,Africa
Botswana,14805,Africa
Mauritania,14364,Africa
Zimbabwe,13867,Africa
Maldives,13757,Asia
Guinea,13722,Africa
Tajikistan,13296,Asia
Jamaica,12827,America
Malta,12774,Europe
Cuba,11863,America
Cape Verde,11840,Africa
Syria,11434,Asia
Belize,10776,America
Haiti,10015,America
Gabon,9571,Africa
Eswatini,9358,Africa
Rwanda,8383,Africa
Andorra,8049,Europe
Bahamas,7871,Africa
Thailand,7163,Asia
Trinidad and Tobago,7150,America
Congo,7107,Africa
Mali,7090,Africa
Burkina Faso,6707,Africa
Malawi,6583,Africa
Guyana,6332,SA
Suriname,6210,SA
Nicaragua,6046,America
Djibouti,5831,Asia
Iceland,5754,Europe
Equatorial Guinea,5277,Africa
Central African Republic,4963,Africa
Somalia,4714,Africa
Gambia,3797,Africa
Togo,3633,Africa
South Sudan,3558,Africa
Niger,3323,Africa
Benin,3251,Africa
Lesotho,3094,Africa
Sierra Leone,2611,Africa
Guinea-Bissau,2452,Africa
San Marino,2428,Europe
New Zealand,2162,Oceania
Liechtenstein,2136,Europe
Chad,2113,Africa
Yemen,2099,Africa
Liberia,1779,Africa
Vietnam,1465,Asia
Eritrea,1252,Africa
Mongolia,1220,Asia
Sao Tome and Principe,1014,Africa
Monaco,875,Europe
Comoros,823,Africa
Burundi,818,Africa
Taiwan,799,Asia
Papua New Guinea,780,Asia
Bhutan,670,Asia
Mauritius,527,Africa
Tanzania,509,Africa
Barbados,383,America
Cambodia,378,Asia
Saint Lucia,353,America
Seychelles,275,Africa
Antigua and Barbuda,159,America
Brunei,157,Asia
Grenada,127,America
Saint Vincent and the Grenadines,121,America
Dominica,88,America
Fiji,49,Oceania
Timor,44,Asia
Laos,41,Asia
Saint Kitts and Nevis,32,America
Vatican,27,Europe
Solomon Islands,17,Oceania
Marshall Islands,4,Oceania
Samoa,2,Oceania
Vanuatu,1,Oceania
