Date,Medal Count,Medal
1896,62,Gold
1896,45,Silver
1896,38,Bronze
1900,160,Gold
1900,183,Silver
1900,133,Bronze
1904,185,Gold
1904,154,Silver
1904,123,Bronze
1908,295,Gold
1908,278,Silver
1908,204,Bronze
1912,296,Gold
1912,293,Silver
1912,272,Bronze
1920,497,Gold
1920,446,Silver
1920,345,Bronze
1924,298,Gold
1924,294,Silver
1924,257,Bronze
1928,226,Gold
1928,226,Silver
1928,226,Bronze
1932,212,Gold
1932,204,Silver
1932,195,Bronze
1936,294,Gold
1936,282,Silver
1936,279,Bronze
1948,262,Gold
1948,251,Silver
1948,265,Bronze
1952,248,Gold
1952,203,Silver
1952,268,Bronze
1956,211,Gold
1956,190,Silver
1956,209,Bronze
1960,177,Gold
1960,181,Silver
1960,208,Bronze
1964,238,Gold
1964,177,Silver
1964,220,Bronze
1968,221,Gold
1968,213,Silver
1968,228,Bronze
1972,187,Gold
1972,229,Silver
1972,227,Bronze
1976,188,Gold
1976,215,Silver
1976,261,Bronze
1980,118,Gold
1980,181,Silver
1980,205,Bronze
1984,365,Gold
1984,366,Silver
1984,378,Bronze
1988,239,Gold
1988,290,Silver
1988,312,Bronze
1992,454,Gold
1992,451,Silver
1992,513,Bronze
1996,601,Gold
1996,588,Silver
1996,606,Bronze
2000,624,Gold
2000,660,Silver
2000,659,Bronze
2004,636,Gold
2004,655,Silver
2004,668,Bronze
2008,664,Gold
2008,661,Silver
2008,680,Bronze
