country,Total deaths (lg),Total cases (lg),deaths per million
Afghanistan,3.3406,4.712,7.502199677427948
Albania,3.0722,4.7658,20.257912034560718
Algeria,3.4403,4.9983,7.927736120734594
Andorra,1.9243,3.9057,32.97223074042762
Angola,2.6075,4.2444,3.510413081105983
Antigua and Barbuda,0.699,2.2014,7.145488086897913
Argentina,4.6359,6.211,30.93278196347687
Armenia,3.4507,5.2025,30.86543374067502
Australia,2.9586,4.4537,5.970510865914239
Austria,3.7939,5.5573,26.283873382741746
Azerbaijan,3.4218,5.3398,16.139237900223172
Bahamas,2.2304,3.896,20.79175317283273
Bahrain,2.5465,4.967,14.382836994139925
Bangladesh,3.8785,5.7105,6.774880072739295
Barbados,0.8451,2.5832,4.93548376554923
Belarus,3.1535,5.2884,12.275952101568334
Belgium,4.2907,5.8106,41.04822773275358
Belize,2.3945,4.0325,24.97418667344344
Benin,1.6435,3.512,1.904993438308909
Bhutan,,2.8261,
Bolivia,3.9621,5.2045,28.020403280466898
Bosnia and Herzegovina,3.6075,5.0453,35.13472641134409
Botswana,1.6232,4.1704,4.226109321823087
Brazil,5.2899,6.8851,30.284500986478218
Brunei,0.4771,2.1959,2.6185874054535585
Bulgaria,3.8794,5.3059,33.019933373645685
Burkina Faso,1.9294,3.8265,2.0164324932910596
Burundi,0.301,2.9128,0.40987803063838396
Cambodia,,2.5775,
Cameroon,2.6513,4.4196,4.108040895609487
Canada,4.194,5.7667,20.351388159042127
Cape Verde,2.0531,4.0734,14.256296854372808
Central African Republic,1.7993,3.6957,3.611647823362627
Chad,2.017,3.3249,2.5161478493920026
Chile,4.2203,5.7846,29.475277776468875
China,3.6796,4.9821,1.8226354544998844
Colombia,4.6356,6.2156,29.14213444482061
Comoros,1.0,2.9154,3.391164991562634
Congo,2.0334,3.8517,4.4240253163832595
Costa Rica,3.3395,5.2287,20.71052872333297
Cote d'Ivoire,2.1367,4.352,2.279034883453959
Croatia,3.5933,5.3239,30.900987039251678
Cuba,2.1644,4.0742,3.5902646142032486
Cyprus,2.0755,4.3428,11.655899793666725
Czechia,4.0637,5.8565,32.88365855558046
Democratic Republic of Congo,2.7716,4.2469,2.5688518836242777
Denmark,3.1133,5.2152,14.969769537304174
Djibouti,1.7853,3.7657,7.857544145596639
Dominica,,1.9445,
Dominican Republic,3.3827,5.2324,14.917472976345557
Ecuador,4.1472,5.3274,28.20354587636101
Egypt,3.8826,5.1401,8.6353343884299
El Salvador,3.1229,4.6624,14.303426162986264
Equatorial Guinea,1.9345,3.7224,7.829303928191829
Eritrea,0.0,3.0976,0.5310367218940701
Estonia,2.3598,4.447,13.138873619911259
Eswatini,2.3118,3.9712,13.292817609521316
Ethiopia,3.284,5.0943,4.089865523461621
Fiji,0.301,1.6902,1.4936532395439042
Finland,2.749,4.5576,10.062305898749054
France,4.8113,6.4278,31.49790469221723
Gabon,1.8062,3.981,5.362368879515843
Gambia,2.0934,3.5794,7.163099887618489
Georgia,3.3988,5.3568,25.058910590845727
Germany,4.5288,6.2456,20.082604412774753
Ghana,2.525,4.7386,3.283443314570848
Greece,3.6847,5.1425,21.54444243882863
Grenada,,2.1038,
Guatemala,3.6824,5.1399,16.390515550158877
Guinea,1.9085,4.1374,2.483545852204062
Guinea-Bissau,1.6532,3.3895,4.7818406497916675
Guyana,2.2148,3.8015,14.439632959324138
Haiti,2.3729,4.0007,4.549395564248068
Honduras,3.4955,5.0857,17.776810737587326
Hungary,3.9794,5.5085,31.42023233523266
Iceland,1.4624,3.76,9.21856821854674
India,5.1724,7.0114,10.381762856085667
Indonesia,4.3451,5.8711,8.99644374183488
International,1.1761,2.8579,
Iran,4.7421,6.0882,25.641216819800107
Iraq,4.1077,5.7747,17.848053115115945
Ireland,3.3497,4.9627,21.28464235076549
Israel,3.5218,5.6266,19.599668364541273
Italy,4.8702,6.3237,35.02202164353166
Jamaica,2.48,4.1081,10.098861321951105
Japan,3.5175,5.3726,5.1018624050438675
Jordan,3.5837,5.4691,19.384710469852266
Kazakhstan,3.4411,5.3036,12.126170046638798
Kenya,3.2227,4.9843,5.572880763124221
Kosovo,3.1245,4.7088,26.25195230835223
Kuwait,2.9703,5.1778,14.788745720986618
Kyrgyzstan,3.1319,4.9087,14.411419083490703
Laos,,1.6128,
Latvia,2.8028,4.6118,18.348160670759345
Lebanon,3.1667,5.2589,14.665537835347193
Lesotho,1.7076,3.4905,4.879241744369713
Liberia,1.9191,3.2502,4.051049246800142
Libya,3.1697,5.0012,14.666219690158742
Liechtenstein,1.5911,3.3296,31.978570949934582
Lithuania,3.1638,5.1479,23.142558199127425
Luxembourg,2.6946,4.6667,28.120544091464517
Madagascar,2.4166,4.2483,3.07001628660175
Malawi,2.2765,3.8184,3.1432467291003423
Malaysia,2.673,5.0531,3.814708376796318
Maldives,1.6812,4.1385,9.423375191511797
Mali,2.4298,3.8506,3.644585024388922
Malta,2.3404,4.1063,22.27087784529384
Marshall Islands,,0.6021,
Mauritania,2.5403,4.1573,8.638807788115209
Mauritius,1.0,2.7218,2.804104135013534
Mexico,5.0997,6.1541,31.23710934129469
Moldova,3.4749,5.1608,27.20233445864527
Monaco,0.4771,2.942,8.743283136213764
Mongolia,0.0,3.0864,0.552268050859363
Montenegro,2.8338,4.6835,32.95269336488294
Morocco,3.8685,5.6427,14.147791347061915
Mozambique,2.2201,4.2705,2.304560695664143
Myanmar,3.4285,5.0956,7.020897378540723
Namibia,2.3118,4.3791,8.982204629154248
Nepal,3.2686,5.416,7.981165328446718
Netherlands,4.0616,5.9076,25.934629359217766
New Zealand,1.3979,3.3349,2.2768399153212333
Nicaragua,2.2175,3.7815,4.990691334875359
Niger,2.017,3.5215,2.0726794252850587
Nigeria,3.1103,4.9425,2.500599928017275
North Macedonia,3.3985,4.9208,34.6614050494206
Norway,2.6395,4.6952,8.967942907936022
Oman,3.1758,5.1101,17.13300907604966
Pakistan,4.0076,5.6832,6.787341158362382
Palestine,3.1461,5.1399,16.566049619628696
Panama,3.6044,5.3923,30.531082522570337
Papua New Guinea,0.9542,2.8921,1.0029955134495867
Paraguay,3.3545,5.0332,17.808396895846634
Peru,4.5761,6.0065,33.80522149017811
Philippines,3.9659,5.6758,9.184661126029637
Poland,4.4557,6.1122,27.467562687650318
Portugal,3.8392,5.6167,26.024546105551966
Qatar,2.3892,5.1579,9.221605066364532
Romania,4.1977,5.8009,28.628464855803916
Russia,4.7503,6.4952,19.63647116973923
Rwanda,1.9638,3.9234,2.6651453994106964
Saint Kitts and Nevis,,1.5051,
Saint Lucia,0.699,2.5478,5.218141431582705
Saint Vincent and the Grenadines,,2.0828,
Samoa,,0.301,
San Marino,1.7709,3.3852,41.69489177345349
Sao Tome and Principe,1.2304,3.006,8.807326495594449
Saudi Arabia,3.794,5.5596,13.369779354948232
Senegal,2.6128,4.2819,4.948333052655207
Serbia,3.5066,5.5288,21.72296020343452
Seychelles,,2.4393,
Sierra Leone,1.8808,3.4168,3.0865838721797276
Singapore,1.4624,4.7679,2.2264321233758735
Slovakia,3.33,5.2542,19.78891103623441
Slovenia,3.4309,5.0869,36.01806491192996
Solomon Islands,,1.2304,
Somalia,2.1139,3.6734,2.8600699292150185
South Africa,4.4544,6.0241,21.909221802702167
South Korea,2.9624,4.7908,4.22918431851817
South Sudan,1.7993,3.5512,2.3723406163533935
Spain,4.7062,6.2852,32.974399160560914
Sri Lanka,2.3096,4.6365,3.0865838721797276
Sudan,3.1667,4.3677,5.7860176287322185
Suriname,2.0864,3.7931,14.421026315765463
Sweden,3.9409,5.6409,29.395952102287826
Switzerland,3.8834,5.6554,29.72108679035812
Syria,2.8519,4.0582,6.373931282968149
Taiwan,0.8451,2.9025,0.5422176684690383
Tajikistan,1.9542,4.1237,3.071807285621935
Tanzania,1.3222,2.7067,0.593295878967653
Thailand,1.7993,3.8551,0.950263121456368
Timor,,1.6435,
Togo,1.8325,3.5603,2.8660076761934885
Trinidad and Tobago,2.1038,3.8543,9.526121981163165
Tunisia,3.6699,5.1435,19.890877305941032
Turkey,4.3198,6.3441,15.734802191320995
Uganda,2.3997,4.5467,2.3424346308915434
Ukraine,4.2851,6.0362,20.996952159777855
United Arab Emirates,2.8254,5.3177,8.224414872804022
UK,4.867,6.3973,32.931671685476275
US,5.5387,7.3003,32.318941814360194
Uruguay,2.2577,4.2815,7.218379319487165
Uzbekistan,2.7882,4.8868,4.283106349368412
Vanuatu,,0.0,
Vatican,,1.4314,
Venezuela,3.012,5.0552,6.0125701659107476
Vietnam,1.5441,3.1658,0.6
Yemen,2.7853,3.322,4.522388749322641
Zambia,2.5888,4.3165,4.594017849334066
Zimbabwe,2.5599,4.142,4.941963172667315
