year,Amount Spending,symbol
2002,6.34E+11,Private
2003,6.75E+11,Private
2004,7.71E+11,Private
2005,8.83E+11,Private
2006,9.06E+11,Private
2007,8.59E+11,Private
2008,7.69E+11,Private
2009,5.92E+11,Private
2010,5.05E+11,Private
2011,5.02E+11,Private
2012,5.71E+11,Private
2013,6.36E+11,Private
2014,7.29E+11,Private
2015,8.24E+11,Private
2016,6.50E+11,Private
2002,6.34E+11,Public
2003,6.75E+11,Public
2004,7.71E+11,Public
2005,8.83E+11,Public
2006,9.06E+11,Public
2007,8.59E+11,Public
2008,7.69E+11,Public
2009,5.92E+11,Public
2010,5.05E+11,Public
2011,5.02E+11,Public
2012,5.71E+11,Public
2013,6.36E+11,Public
2014,7.29E+11,Public
2015,8.24E+11,Public
2016,6.50E+11,Public
