States,Male,abbr,id
Alaska,Michael,AK,2
Alabama,James,AL,1
Arkansas,James,AR,5
Arizona,Michael,AZ,4
California,Michael,CA,6
Colorado,Michael,CO,8
Connecticut,Michael,CT,9
District of Colombia,Michael,DC,11
Delaware,Michael,DE,10
Florida,Michael,FL,12
Georgia,James,GA,13
Hawaii,Michael,HI,15
Iowa,Robert,IA,19
Idaho,Michael,ID,16
Illinois,Michael,IL,17
Indiana,Michael,IN,18
Kansas,Robert,KS,20
Kentucky,James,KY,21
Louisiana,James,LA,22
Massachusetts,Robert,MA,25
Maryland,Michael,MD,24
Maine,Robert,ME,23
Michigan,Michael,MI,26
Minnesota,Michael,MN,27
Missouri,Michael,MO,29
Mississippi,James,MS,28
Montana,Robert,MT,30
North Carolina,James,NC,37
North Dakota,Robert,ND,38
Nebraska,Robert,NE,31
New Hampshire,Robert,NH,33
New Jersey,Michael,NJ,34
New Mexico,Michael,NM,35
Nevada,Michael,NV,32
New York,Michael,NY,36
Ohio,Michael,OH,39
Oklahoma,James,OK,40
Oregon,Michael,OR,41
Pennsylvania,John,PA,42
Rhode Island,Michael,RI,44
South Carolina,James,SC,45
South Dakota,Robert,SD,46
Tennessee,James,TN,47
Texas,James,TX,48
Utah,Michael,UT,49
Virginia,James,VA,51
Vermont,Robert,VT,50
Washington,Michael,WA,53
Wisconsin,Michael,WI,55
West Virginia,James,WV,54
Wyoming,Michael,WY,56
